OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
850,133,132,0.00531002594,0
851,133,134,0.00000000000,1
852,133,135,0.00382017649,0
853,133,192,0.00093382484,0
854,133,812,0.00530909075,0
855,133,1600,0.00000000000,1
856,134,133,0.00000000000,1
857,134,135,0.00468623577,0
858,134,136,0.00000000000,1
859,134,137,0.00411003081,0
860,134,138,0.00000000000,1
861,134,812,0.00423354817,0
862,134,813,0.00466514177,0
863,135,132,0.00000000000,1
864,135,133,0.00382017649,0
865,135,134,0.00468623577,0
866,135,136,0.00382438551,0
867,135,137,0.00000000000,1
868,135,812,0.00000000000,1
869,135,1600,0.00468446236,0
870,135,1601,0.00000000000,1
871,136,134,0.00000000000,1
872,136,135,0.00382438551,0
873,136,137,0.00479325500,0
874,136,150,0.00094710708,0
875,136,151,0.00286925550,0
876,136,1600,0.00000000000,1
877,136,1601,0.00479659992,0
878,137,134,0.00411003081,0
879,137,135,0.00000000000,1
880,137,136,0.00479325500,0
881,137,138,0.00479575716,0
882,137,149,0.00093079919,0
883,137,150,0.00318110247,0
884,137,813,0.00000000000,1
885,138,134,0.00000000000,1
886,138,137,0.00479575716,0
887,138,140,0.00236512986,0
888,138,148,0.00336398945,0
889,138,149,0.00287044016,0
890,138,813,0.00380128731,0
891,139,279,0.00368132197,0
892,139,319,0.00000000000,1
893,139,320,0.00440495497,0
894,139,655,0.00632641370,0
895,140,138,0.00236512986,0
896,140,141,0.00387248829,0
897,140,142,0.00071301821,0
898,140,148,0.00186512170,0
899,140,161,0.00417174900,0
